iteration,latency (ms),gpu,layer,model_type,model
11,3.5447680950164795,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
12,3.4098238945007324,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
13,3.441312074661255,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
14,3.285952091217041,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
15,3.216032028198242,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
16,3.2137598991394043,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
17,3.9896318912506095,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
18,4.181983947753906,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
19,3.241503953933716,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
20,3.3646399974823,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
21,3.168895959854126,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
22,3.1612160205841064,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
23,3.2014400959014893,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
24,3.211488008499145,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
25,3.183072090148926,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
26,3.191936016082764,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
27,3.1539199352264404,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
28,3.222208023071289,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
29,3.177088022232056,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
30,3.2901759147644043,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
31,3.196255922317505,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
32,3.288671970367432,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
33,3.2601919174194336,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
34,3.3068480491638184,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
35,3.21616005897522,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
36,3.58134388923645,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
37,3.3304638862609863,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
38,3.3376638889312744,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
39,3.465183973312378,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
40,3.363424062728882,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
41,3.270015954971313,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
42,3.3305280208587646,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
43,3.233760118484497,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
44,3.371328115463257,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
45,3.2562880516052246,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
46,3.573472023010254,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
47,3.327615976333618,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
48,4.100224018096924,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
49,3.412447929382324,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
50,3.481951951980591,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
51,3.330656051635742,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
52,3.3359038829803467,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
53,3.3976640701293945,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
54,3.2697598934173584,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
55,3.2394559383392334,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
56,3.742655992507935,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
57,3.3435521125793457,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
58,3.300992012023926,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
59,3.3039040565490723,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
60,3.229631900787353,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
61,3.3435840606689453,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
62,3.165055990219116,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
63,3.210815906524658,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
64,3.773184061050415,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
65,3.8579840660095215,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
66,3.258239984512329,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
67,3.2255680561065674,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
68,3.2568960189819336,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
69,3.1799681186676025,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
70,3.168351888656616,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
71,3.229664087295532,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
72,3.161760091781616,0,moe_l11_decode,Encoder-Decoder,DeepSpeed
